"constant" "grund1" "grund2" "numwei1" "numwei2" "tarif1" "score1" "score2" "score3" "score4" "score5" "score6" "score7" "score8"
"1" -1.09 0.42 -0.42 0.42 -0.42 1.41 -0.52 2.3 3.97 1.15 2.56 0.89 0.32 0.32
"3" 1.86 -0.08 0.08 0.42 -0.42 1.86 3.39 7.12 7.79 4.06 5.92 5.26 3.23 4.23
"5" -0.36 -2.25 2.25 1.75 -1.75 3.14 3.27 9.55 8.55 2.27 5.41 6.41 -1.23 6.77
"6" -0.27 0.25 -0.25 -0.25 0.25 1.23 0.95 3.41 3.41 0.95 2.18 2.18 1.45 0.45
"9" 4.27 1.5 -1.5 -1 1 0.27 4.05 4.59 5.59 5.05 5.32 4.32 7.05 2.05
"10" 1.23 2.58 -2.58 -1.42 1.42 2.23 2.29 6.74 9.08 4.62 6.85 4.52 7.45 -0.55
"12" 1.64 1.67 -1.67 -1.33 1.33 2.64 3.94 9.21 9.88 4.61 7.24 6.58 7.27 1.27
"13" 2.09 -2.08 2.08 2.92 -2.92 1.59 2.85 6.03 7.7 4.52 6.11 4.44 -1.32 8.68
"15" 6.82 0.08 -0.08 0.08 -0.08 -0.68 5.97 4.61 4.94 6.3 5.62 5.29 6.14 6.14
"16" 6.09 -0.58 0.58 0.92 -0.92 0.59 6.35 7.53 8.2 7.02 7.61 6.94 5.18 8.18
"20" 4.73 -0.83 0.83 1.17 -1.17 0.73 5.12 6.58 7.24 5.79 6.52 5.85 3.45 7.45
"24" 1.82 -0.42 0.42 -0.42 0.42 -0.68 1.97 0.61 -1.06 0.3 -0.38 1.29 1.14 1.14
"28" 5.59 -1.08 1.08 -0.58 0.58 0.59 7.85 9.03 5.7 4.52 5.11 8.44 5.68 6.68
"31" 2.5 -1.25 1.25 1.25 -1.25 2.5 5 10 10 5 7.5 7.5 2.5 7.5
"32" 1.27 2.5 -2.5 -2.5 2.5 1.27 2.55 5.09 5.09 2.55 3.82 3.82 7.55 -2.45
"33" -0.91 0.42 -0.42 0.42 -0.42 1.59 -0.15 3.03 4.7 1.52 3.11 1.44 0.68 0.68
"35" 6.77 -2.58 2.58 0.92 -0.92 -1.23 7.21 4.76 1.42 3.88 2.65 5.98 2.05 9.05
"38" -3.36 0 0 0 0 3.64 0.27 7.55 7.55 0.27 3.91 3.91 0.27 0.27
"39" -2.82 0 0 0 0 3.18 0.36 6.73 6.73 0.36 3.55 3.55 0.36 0.36
"40" -2 -1.25 1.25 1.25 -1.25 2.5 0.5 5.5 5.5 0.5 3 3 -2 3
"41" 0.95 -2.75 2.75 2.25 -2.25 2.95 4.41 10.32 9.32 3.41 6.36 7.36 -1.09 8.91
"44" -2 0 0 0 0 2 0 4 4 0 2 2 0 0
"46" -1.36 -1 1 1 -1 3.64 2.27 9.55 9.55 2.27 5.91 5.91 0.27 4.27
"47" -5 0 0 0 0 5 0 10 10 0 5 5 0 0
"48" 5.86 -1 1 0.5 -0.5 1.36 7.73 10.45 9.45 6.73 8.09 9.09 5.73 8.73
"49" -3.55 0.17 -0.17 0.17 -0.17 4.45 0.58 9.48 10.15 1.24 5.7 5.03 0.91 0.91
"50" -4.55 0 0 0 0 5.45 0.91 11.82 11.82 0.91 6.36 6.36 0.91 0.91
"51" 2.05 -1.83 1.83 3.17 -3.17 1.55 2.26 5.35 8.02 4.92 6.47 3.8 -1.41 8.59
"52" -2.5 0.08 -0.08 0.08 -0.08 4.5 1.83 10.83 11.17 2.17 6.67 6.33 2 2
"59" 2.64 -3.25 3.25 1.75 -1.75 2.14 6.27 10.55 7.55 3.27 5.41 8.41 -0.23 9.77
